ID;Rooms;Address;Min_to_metro;Total_size_sq_m;Rooms_sq_m;By_room_sq_m;Kitchen_sq_m;Floor;Total_floors;Condition;Bathroom;Balcony;Windows;House;House_name;Price;Sq_m_price;Phone;Link;Room_k;House_k;Floor_k
224552211;1;Санкт-Петербург, Гражданский проспект, 83К1;13;30;15;14.8;8;2;9;95;Раздельный;n/a;n/a;Панельный;n/a;3700000;123333;+79811809419;https://www.cian.ru/sale/flat/224552211;100;83;100
223181272;1;Санкт-Петербург, Гражданский проспект, 83К1;13;30;15;14.80;8;2;9;100;Раздельный;n/a;n/a;Панельный;n/a;3739000;124633;+79118418296;https://www.cian.ru/sale/flat/223181272;100;83;100
224122132;1;Санкт-Петербург, Гражданский проспект, 90К1;5;30;15;15;7;3;9;100;Совмещенный;n/a;n/a;Панельный;n/a;3700000;123333;+79110114957;https://www.cian.ru/sale/flat/224122132;100;83;100
223883096;2;Санкт-Петербург, Гражданский проспект, 75К4;9;40;25;(15.3+10);7;1;5;100;Раздельный;n/a;Во двор;Панельный;n/a;3800000;95000;+79817210761;https://www.cian.ru/sale/flat/223883096;90;83;92
223291979;1;Санкт-Петербург, Гражданский проспект, 29;10;31;16;16.00;8;4;5;100;Раздельный;Балкон (1);n/a;Кирпичный;n/a;3939000;127065;+79110012721;https://www.cian.ru/sale/flat/223291979;100;83;100
223950181;1;Санкт-Петербург, Гражданский проспект, 92К1;13;31;15;15.40;8;8;9;100;Раздельный;Балкон (1);n/a;Панельный;n/a;3939000;127065;+79811302404;https://www.cian.ru/sale/flat/223950181;100;83;100
223050531;2;Санкт-Петербург, Гражданский проспект, 75К4;5;41;26;15.3+10.2;7;5;5;95;Раздельный;Балкон (1);Во двор;Панельный;n/a;3900000;95122;+79818706763;https://www.cian.ru/sale/flat/223050531;90;83;100
224396439;1;Санкт-Петербург, Гражданский проспект, 83К1;10;31;16;15.7;8;3;9;100;Раздельный;n/a;Во двор;Панельный;n/a;4000000;129032;+79112711393;https://www.cian.ru/sale/flat/224396439;100;83;100
222144992;1;Санкт-Петербург, Гражданский проспект, 25к1;12;31;17;16,9;6;4;5;116;Совмещенный;Балкон (1);Во двор;Кирпичный;n/a;4050000;130645;+79118206179;https://www.cian.ru/sale/flat/222144992;100;83;100
223250378;1;Санкт-Петербург, улица Верности, 11;10;33;17;16.7;9;6;9;100;Совмещенный;Балкон (1);Во двор;Кирпичный;n/a;4170000;126364;+79819012685;https://www.cian.ru/sale/flat/223250378;100;83;100
220620626;1;Санкт-Петербург, Гражданский проспект, 83К1;10;31;15;15;8;8;9;100;Раздельный;Балкон (1);На улицу;Панельный;n/a;4150000;133871;+79819012685;https://www.cian.ru/sale/flat/220620626;100;83;100
223268854;1;Санкт-Петербург, Гражданский проспект, 83К1;13;31;16;16;8;3;9;100;Раздельный;n/a;n/a;Панельный;n/a;4200000;135484;+79811809419;https://www.cian.ru/sale/flat/223268854;100;83;100
207869174;1;Санкт-Петербург, Гражданский проспект, 83К1;13;31;16;15.70;8;3;9;100;Раздельный;n/a;n/a;Панельный;n/a;4200000;135484;+79818707026;https://www.cian.ru/sale/flat/207869174;100;83;100
223085196;2;Санкт-Петербург, проспект Науки, 14К2;5;45;30;19.3+11;6;1;5;100;Совмещенный;n/a;Во двор;Панельный;n/a;4650000;103333;+79116400692;https://www.cian.ru/sale/flat/223085196;90;83;92
223626035;2;Санкт-Петербург, проспект Науки, 14К3;2;46;31;19.8+11.4;6;1;5;100;Совмещенный;n/a;Во двор;Панельный;n/a;4700000;102174;+79110801228;https://www.cian.ru/sale/flat/223626035;90;83;92
221969374;2;Санкт-Петербург, проспект Науки, 4К1;10;45;28;18,2+9,8;7;9;9;95;Раздельный;Лоджия (1);На улицу;Панельный;n/a;4750000;105556;+79818308782;https://www.cian.ru/sale/flat/221969374;90;83;110
223213820;2;Санкт-Петербург, улица Софьи Ковалевской, 10К5;5;46;28;13+15;7;4;5;100;Раздельный;Балкон (1);n/a;Кирпичный;n/a;4750000;103261;+79818604092;https://www.cian.ru/sale/flat/223213820;90;83;100
224350456;2;Санкт-Петербург, Гражданский проспект, 92К1;10;46;28;17.3+10.2;8;5;9;95;Раздельный;n/a;На улицу;Блочный;n/a;4800000;104348;+79112318268;https://www.cian.ru/sale/flat/224350456;90;83;100
221703692;2;Санкт-Петербург, проспект Науки, 14К1;6;42;26;17.8+8.6;7;1;5;100;Совмещенный;n/a;Во двор;Панельный;n/a;4900000;116667;+79811514721;https://www.cian.ru/sale/flat/221703692;90;83;92
223587177;2;Санкт-Петербург, Гражданский проспект, 47К1;5;44;29;15.8+13.1;5;3;3;95;Раздельный;Балкон (1);На улицу и двор;Кирпичный;n/a;4900000;111364;+79111317126;https://www.cian.ru/sale/flat/223587177;90;83;100
224597886;2;Санкт-Петербург, Гражданский проспект, 31К3;10;44;28;16.4+11.4;5;2;5;100;Раздельный;Балкон (1);Во двор;Кирпичный;n/a;5000000;113636;+79110807976;https://www.cian.ru/sale/flat/224597886;90;83;100
223217857;1;Санкт-Петербург, улица Бутлерова, 13;5;35;18;17.8;9;1;9;95;Раздельный;n/a;Во двор;Кирпичный;n/a;5000000;142857;+79817312342;https://www.cian.ru/sale/flat/223217857;100;100;92
198913532;2;Санкт-Петербург, проспект Науки, 29;5;46;28;18.1+10.2;6;2;12;100;Раздельный;Лоджия (1);На улицу;Кирпичный;n/a;5100000;110870;+79818706647;https://www.cian.ru/sale/flat/198913532;90;83;100
224495555;2;Санкт-Петербург, Гражданский проспект, 92К1;5;44;27;17.3+10;8;5;9;95;Раздельный;n/a;На улицу;Панельный;n/a;5200000;118182;+79118415972;https://www.cian.ru/sale/flat/224495555;90;83;100
223486798;2;Санкт-Петербург, проспект Науки, 12К8;5;49;27;16.4+10.7;7;4;5;100;Раздельный;n/a;Во двор;Кирпичный;n/a;5299000;108143;+79811809701;https://www.cian.ru/sale/flat/223486798;90;83;100
224377567;2;Санкт-Петербург, проспект Науки, 12К7;5;50;31;30.60;6;1;5;116;Раздельный;n/a;На улицу и двор;Кирпичный;n/a;5390000;107800;+79110012972;https://www.cian.ru/sale/flat/224377567;90;83;92
223672825;1;Санкт-Петербург, Гражданский проспект, 71;5;36;21;21;7;4;12;110;Раздельный;n/a;Во двор;Кирпичный;n/a;5450000;151389;+79811514572;https://www.cian.ru/sale/flat/223672825;100;100;100
222102518;2;Санкт-Петербург, Гражданский проспект, 75К1;5;44;31;14+17.4;7;3;9;110;Совмещенный;n/a;На улицу;Панельный;n/a;5490000;124773;+79818009065;https://www.cian.ru/sale/flat/222102518;90;83;100
222389002;1;Санкт-Петербург, Гражданский проспект, 71;5;36;21;21;7;4;12;110;Раздельный;n/a;Во двор;Кирпичный;n/a;5490000;152500;+79811709578;https://www.cian.ru/sale/flat/222389002;100;100;100
224322966;3;Санкт-Петербург, проспект Науки, 10К2;6;59;36;36.00;7;1;9;100;Раздельный;Балкон (1);n/a;Панельный;n/a;5539000;93881;+79817400783;https://www.cian.ru/sale/flat/224322966;85;83;92
224206434;2;Санкт-Петербург, Гражданский проспект, 75К1;5;45;28;17.7+10;7;9;9;100;Раздельный;n/a;n/a;Панельный;n/a;5590000;124222;+79819012685;https://www.cian.ru/sale/flat/224206434;90;83;110
224176530;1;Санкт-Петербург, улица Верности, 7К2;9;43;19;19.30;10;8;10;100;n/a;n/a;n/a;Кирпичный;n/a;5700000;132558;+79111317140;https://www.cian.ru/sale/flat/224176530;100;83;100
221414646;2;Санкт-Петербург, Гражданский проспект, 29;10;43;28;18,5+9,0;5;4;5;100;Раздельный;Балкон (1);Во двор;Кирпичный;n/a;5700000;132558;+79818308782;https://www.cian.ru/sale/flat/221414646;90;83;100
222763290;3;Санкт-Петербург, Гражданский проспект, 90К1;11;59;39;(10.2+17.3)+11.9;7;1;9;100;Раздельный;Лоджия (1);На улицу и двор;Панельный;n/a;5800000;98305;+79811809419;https://www.cian.ru/sale/flat/222763290;85;83;92
223456024;3;Санкт-Петербург, проспект Науки, 4К1;10;56;38;38.30;6;3;9;100;Раздельный;Лоджия (1);На улицу и двор;Панельный;n/a;5900000;105357;+79111513092;https://www.cian.ru/sale/flat/223456024;85;83;100
224342527;3;Санкт-Петербург, проспект Науки, 14К4;5;59;39;14.2+13.9+11.2;6;5;5;100;Совмещенный;Балкон (1);Во двор;Блочный;n/a;5900000;100000;+79818707803;https://www.cian.ru/sale/flat/224342527;85;83;100
218803995;3;Санкт-Петербург, улица Софьи Ковалевской, 4;10;64;44;13.3+13.1+17.7;9;1;9;100;Раздельный;n/a;На улицу и двор;Блочный;n/a;5950000;92969;+79111316764;https://www.cian.ru/sale/flat/218803995;85;83;92
214598449;2;Санкт-Петербург, улица Вавиловых, 7К3;10;51;31;13.3+17.6;8;9;9;100;Совмещенный;Лоджия (1);Во двор;Панельный;n/a;5990000;117451;+79811514572;https://www.cian.ru/sale/flat/214598449;90;83;110
220295491;1;Санкт-Петербург, Гжатская улица, 22к1;7;38;16;15.70;10;3;19;110;Совмещенный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 3, Год постройки - 2012;6039000;158921;+79817312880;https://www.cian.ru/sale/flat/220295491;100;100;100
218354398;1;Санкт-Петербург, Гжатская улица, 22к1;7;38;15;15;10;3;24;110;Совмещенный;n/a;На улицу;Кирпичный;Орбита, Корпус - Орбита, корпус 3, Год постройки - 2012;6020000;158421;+79818902032;https://www.cian.ru/sale/flat/218354398;100;100;100
223486912;2;Санкт-Петербург, улица Вавиловых, 7К3;9;51;31;31.00;8;9;9;100;Раздельный;Балкон (1);n/a;Панельный;n/a;6038000;118392;+79119604471;https://www.cian.ru/sale/flat/223486912;90;83;110
224500192;1;Санкт-Петербург, улица Бутлерова, 40;6;38;16;16,3;10;23;24;100;Совмещенный;Лоджия (1);Во двор;Кирпичный;n/a;6100000;160526;+79818208536;https://www.cian.ru/sale/flat/224500192;100;100;115
224668888;3;Санкт-Петербург, Гражданский проспект, 75К1;5;60;40;(17.5+12.3+10.2);7;4;9;100;Раздельный;Балкон (1);На улицу и двор;Панельный;n/a;6120000;102000;+79817409047;https://www.cian.ru/sale/flat/224668888;85;83;100
219818291;1;Санкт-Петербург, Гжатская улица, 22к1;7;38;16;15.7;10;3;24;110;Совмещенный;n/a;Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 3, Год постройки - 2012;6120000;161053;+79818308782;https://www.cian.ru/sale/flat/219818291;100;100;100
220425809;3;Санкт-Петербург, Гражданский проспект, 90К2;5;59;39;17.3+12+10.1;7;2;9;95;Раздельный;Лоджия (1);Во двор;Панельный;n/a;6100000;103390;+79811713448;https://www.cian.ru/sale/flat/220425809;85;83;100
216249129;2;Санкт-Петербург, Гражданский проспект, 75К1;8;45;28;27.62;7;3;9;110;Совмещенный;n/a;n/a;Панельный;n/a;6139000;136422;+79811406344;https://www.cian.ru/sale/flat/216249129;90;83;100
223431369;1;Санкт-Петербург, Гжатская улица, 22к4;2;37;18;17.5;11;5;24;110;Раздельный;Балкон (1);Во двор;Кирпичный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;6300000;170270;+79811302978;https://www.cian.ru/sale/flat/223431369;100;100;100
224661206;1;Санкт-Петербург, Гражданский проспект, 36;2;43;19;18.9;9;3;15;110;Раздельный;Лоджия (1);На улицу;Монолитный;Новая Гражданка, Корпус - Новая Гражданка, Год постройки - 2004;6300000;146512;+79811902158;https://www.cian.ru/sale/flat/224661206;100;100;100
223154007;1;Санкт-Петербург, проспект Науки, 17к2;2;37;19;19;9;17;17;110;Совмещенный;Балкон (1);Во двор;Кирпичный;n/a;6300000;170270;+79811302978;https://www.cian.ru/sale/flat/223154007;100;100;115
224104244;3;Санкт-Петербург, Гражданский проспект, 77К3;5;67;50;50.00;6;1;9;110;Раздельный;n/a;Во двор;Панельный;n/a;6500000;97015;+79818205857;https://www.cian.ru/sale/flat/224104244;85;83;92
223965111;1;Санкт-Петербург, Гжатская улица, 22к2;5;45;18;17.8;12;9;19;110;Раздельный;Балкон (1);Во двор;Монолитный;Орбита, Корпус - Орбита, корпус 2, Год постройки - 2012;6550000;145556;+79112909086;https://www.cian.ru/sale/flat/223965111;100;100;110
224416456;2;Санкт-Петербург, улица Верности, 11;11;49;31;17.6+13.7;8;7;9;116;Раздельный;n/a;На улицу;Кирпичный;n/a;6600000;134694;+79811809419;https://www.cian.ru/sale/flat/224416456;90;83;100
224150338;1;Санкт-Петербург, Гражданский проспект, 88к3;5;40;15;15.3;9;2;9;110;Совмещенный;Лоджия (1);Во двор;Кирпичный;n/a;6700000;167500;+79112909294;https://www.cian.ru/sale/flat/224150338;100;100;100
223877909;1;Санкт-Петербург, Гжатская улица, 22к4;10;42;18;18.4;11;13;16;116;Раздельный;Балкон (1);Во двор;Монолитный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;6700000;159524;+79819403743;https://www.cian.ru/sale/flat/223877909;100;100;110
220703366;3;Санкт-Петербург, Гражданский проспект, 75К1;8;59;40;17,4+10,2+12,1;7;4;9;100;n/a;n/a;n/a;Панельный;n/a;6700000;113559;+79811514572;https://www.cian.ru/sale/flat/220703366;85;83;100
217987991;1;Санкт-Петербург, проспект Науки, 17к2;10;48;19;19;12;5;23;100;Совмещенный;Лоджия (1);n/a;Монолитно-кирпичный;n/a;6750000;140625;+79111502370;https://www.cian.ru/sale/flat/217987991;100;100;100
222392995;1;Санкт-Петербург, Гражданский проспект, 88к4;9;43;15;15.30;9;8;9;110;Раздельный;Балкон (1);n/a;Монолитный;n/a;6939000;161372;+79112313724;https://www.cian.ru/sale/flat/222392995;100;100;100
223950193;3;Санкт-Петербург, Гражданский проспект, 31К1;9;60;43;43.00;6;9;9;100;Раздельный;Балкон (1);n/a;Кирпичный;n/a;7038000;117300;+79110802157;https://www.cian.ru/sale/flat/223950193;85;83;110
221751080;1;Санкт-Петербург, проспект Науки, 17к6;2;42;18;18.2;10;15;20;110;Раздельный;Балкон (1);n/a;Монолитный;Гражданка Сити, Корпус - Гражданка Сити;7070000;168333;+79117806609;https://www.cian.ru/sale/flat/221751080;100;100;110
221153159;1;Санкт-Петербург, проспект Науки, 17к6;4;42;18;18.00;10;15;20;116;Раздельный;Балкон (1);n/a;Монолитный;Гражданка Сити, Корпус - Гражданка Сити, Год постройки - 2007;7109000;169262;+79112313724;https://www.cian.ru/sale/flat/221153159;100;100;110
221630256;3;Санкт-Петербург, Гражданский проспект, 31К1;5;60;42;10.4+18.3+13.4;6;4;9;100;Раздельный;Балкон (1);На улицу и двор;Кирпичный;n/a;7150000;119167;+79117806609;https://www.cian.ru/sale/flat/221630256;85;83;100
224635901;1;Санкт-Петербург, проспект Науки, 17к6;5;41;20;20;10;16;24;110;Раздельный;Балкон (1);Во двор;Монолитный;Гражданка Сити, Корпус - Гражданка Сити, Год постройки - 2007;7700000;187805;+79818308782;https://www.cian.ru/sale/flat/224635901;100;100;115
224116617;1;Санкт-Петербург, Гражданский проспект, 88к3;8;37;15;15.3;9;9;9;116;n/a;n/a;n/a;Кирпичный;n/a;7699000;208081;+79111908604;https://www.cian.ru/sale/flat/224116617;100;100;110
217734658;1;Санкт-Петербург, Гжатская улица, 22к4;5;53;20;20.1;16;13;24;110;Совмещенный;Лоджия (1);Во двор;Монолитный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;7950000;150000;+79818009065;https://www.cian.ru/sale/flat/217734658;100;100;110
222786062;1;Санкт-Петербург, Гжатская улица, 22к4;5;53;20;20,1;16;13;16;110;n/a;Балкон (1);Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;7950000;150000;+79818308782;https://www.cian.ru/sale/flat/222786062;100;100;110
223384359;2;Санкт-Петербург, улица Бутлерова, 40;5;54;32;18+13.8;10;21;24;116;Раздельный;Лоджия (1);На улицу;Кирпичный;n/a;8250000;152778;+79818312018;https://www.cian.ru/sale/flat/223384359;90;100;115
216510821;3;Санкт-Петербург, Гражданский проспект, 90К1;5;75;54;17+15+12+10;16;9;9;110;Совмещенный;Балкон (1);Во двор;Панельный;n/a;8400000;112000;+79819601503;https://www.cian.ru/sale/flat/216510821;85;83;110
222059088;2;Санкт-Петербург, Гжатская улица, 22к2;10;52;32;17,1+14,4;9;19;19;100;Раздельный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 2, Год постройки - 2012;8400000;161538;+79818308782;https://www.cian.ru/sale/flat/222059088;90;100;115
222736707;2;Санкт-Петербург, Гжатская улица, 22к3;8;55;35;35.00;12;4;19;116;Раздельный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2012;8799000;159982;+79112607440;https://www.cian.ru/sale/flat/222736707;90;100;100
224358334;2;Санкт-Петербург, Гжатская улица, 22к1;15;63;34;18.3+15.8;14;4;24;100;Раздельный;Балкон (1);На улицу и двор;Монолитный;Орбита, Корпус - Орбита, корпус 3, Год постройки - 2012;9500000;150794;+79816803673;https://www.cian.ru/sale/flat/224358334;90;100;100
222530304;1;Санкт-Петербург, Гжатская улица, 22к4;7;54;21;21,2;15;10;24;110;Раздельный;Балкон (1);n/a;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;9570000;177222;+79818308782;https://www.cian.ru/sale/flat/222530304;100;100;110
224162257;3;Санкт-Петербург, улица Вавиловых, 7к4;5;82;57;18.+16.4+22.6;12;1;18;110;Раздельный;n/a;Во двор;Кирпичный;n/a;9600000;117073;+79817313108;https://www.cian.ru/sale/flat/224162257;85;100;92
223878614;2;Санкт-Петербург, Гжатская улица, 22к3;5;64;35;17.6+17.3;12;18;21;110;Раздельный;Лоджия (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2011;9690000;151406;+79811809181;https://www.cian.ru/sale/flat/223878614;90;100;115
211894721;2;Санкт-Петербург, Гжатская улица, 22к3;5;67;35;17,3+17,6;13;15;15;100;Совмещенный;Лоджия (1);Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2012;9799000;146254;+79811514572;https://www.cian.ru/sale/flat/211894721;90;100;110
224337554;2;Санкт-Петербург, Гжатская улица, 22к4;2;66;21;21.00;20;11;24;116;Совмещенный;Лоджия (1);На улицу;Кирпичный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2014;9870000;149545;+79811904321;https://www.cian.ru/sale/flat/224337554;90;100;110
222784419;3;Санкт-Петербург, улица Бутлерова, 13;5;71;37;14.4+11.7+10.8;16;7;9;110;Раздельный;Лоджия (1);На улицу и двор;Кирпичный;n/a;9900000;139437;+79117002419;https://www.cian.ru/sale/flat/222784419;85;83;100
221866713;2;Санкт-Петербург, Гжатская улица, 22к3;8;67;35;34.90;13;12;25;110;Раздельный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2012;10199000;152224;+79818009184;https://www.cian.ru/sale/flat/221866713;90;100;110
220167165;2;Санкт-Петербург, Гжатская улица, 22к2;5;63;34;16+18,3;13;19;19;110;n/a;Лоджия (1);Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 2, Год постройки - 2012;10600000;168254;+79818308782;https://www.cian.ru/sale/flat/220167165;90;100;115
222181049;3;Санкт-Петербург, Гражданский проспект, 36;5;76;49;19+15.9+13.9;9;8;24;110;Раздельный;Лоджия (1);Во двор;Кирпичный;Новая Гражданка, Корпус - Новая Гражданка, Год постройки - 2005;10590000;139342;+79819403997;https://www.cian.ru/sale/flat/222181049;85;100;100
217927981;2;Санкт-Петербург, Гжатская улица, 22к2;9;62;34;34.30;13;19;19;116;Раздельный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 2, Год постройки - 2012;10704000;172645;+79112907227;https://www.cian.ru/sale/flat/217927981;90;100;115
203202058;2;Санкт-Петербург, Гжатская улица, 22к4;7;70;47;46.7;14;11;24;116;n/a;Лоджия (1);n/a;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2012;10700000;152857;+79818703227;https://www.cian.ru/sale/flat/203202058;90;100;110
222853963;3;Санкт-Петербург, Гжатская улица, 22к3;8;84;46;45.70;20;2;25;110;n/a;n/a;n/a;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2012;11300000;134524;+79818308782;https://www.cian.ru/sale/flat/222853963;85;100;100
223451322;3;Санкт-Петербург, Гжатская улица, 22к3;10;83;45;12.6+14.2+18.2;14;7;25;95;Раздельный;Лоджия (2);Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2011;11400000;137349;+79817613513;https://www.cian.ru/sale/flat/223451322;85;100;100
223332466;2;Санкт-Петербург, Гжатская улица, 22к4;7;72;35;35.4;14;10;24;110;n/a;n/a;n/a;Монолитный;Орбита, Корпус - Орбита, корпус 4;12000000;166667;+79811709578;https://www.cian.ru/sale/flat/223332466;90;100;110
219280075;2;Санкт-Петербург, Гжатская улица, 22к3;5;73;43;26.5+16.0;18;6;21;110;Совмещенный;n/a;Во двор;Монолитный;Орбита, Корпус - Орбита, корпус 1, Год постройки - 2011;12000000;164384;+79117806367;https://www.cian.ru/sale/flat/219280075;90;100;100
214478602;3;Санкт-Петербург, Гжатская улица, 22к1;5;84;50;15.6+17.3+17.2;11;8;19;100;Совмещенный;Лоджия (1);Во двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 3, Год постройки - 2012;12300000;146429;+79110012954;https://www.cian.ru/sale/flat/214478602;85;100;100
223892384;3;Санкт-Петербург, улица Бутлерова, 40;5;85;46;15.4+17.9+12.3;18;15;24;110;Раздельный;Лоджия (1);На улицу и двор;Монолитно-кирпичный;n/a;12420000;146118;+79119605446;https://www.cian.ru/sale/flat/223892384;85;100;110
224225314;3;Санкт-Петербург, улица Вавиловых, 7к4;10;93;59;28.2+15.2+15.2;17;4;18;110;Раздельный;Лоджия (2);Во двор;Монолитный;n/a;12450000;133871;+79811901976;https://www.cian.ru/sale/flat/224225314;85;100;100
223166683;2;Санкт-Петербург, Гжатская улица, 22к4;5;72;35;35.4;14;10;24;116;Раздельный;Лоджия (2);На улицу и двор;Монолитный;Орбита, Корпус - Орбита, корпус 4, Год постройки - 2016;12600000;175000;+79818707504;https://www.cian.ru/sale/flat/223166683;90;100;110
222142891;2;Санкт-Петербург, Гжатская улица, 22к1;5;85;33;15+18;30;12;18;110;Совмещенный;Лоджия (1);На улицу и двор;Монолитно-кирпичный;Орбита, Корпус - Орбита, корпус 3;12500000;147059;+79817405488;https://www.cian.ru/sale/flat/222142891;90;100;110
219637252;3;Санкт-Петербург, Гжатская улица, 22к2;9;100;56;16.6+16.1+22.9;15;8;19;110;Раздельный;Балкон (1);n/a;Монолитный;Орбита, Корпус - Орбита, корпус 2, Год постройки - 2012;12500000;125000;+79112904843;https://www.cian.ru/sale/flat/219637252;85;100;100
224009170;3;Санкт-Петербург, Гражданский проспект, 36;5;76;47;47.00;9;7;24;116;Раздельный;n/a;n/a;Монолитный;Новая Гражданка, Корпус - Новая Гражданка, Год постройки - 2004;12739000;167618;+79811703860;https://www.cian.ru/sale/flat/224009170;85;100;100
